stac_id,collect_id,datetime,start_datetime,end_datetime,center_lon,center_lat,platform,constellation,instrument_mode,frequency_band,center_frequency,polarizations,orbit_state,product_type,observation_direction,incidence_angle,azimuth,squint_angle,layover_angle,look_angle,resolution_range,resolution_azimuth,resolution_ground_range,pixel_spacing_range,pixel_spacing_azimuth,image_length,image_width,looks_range,looks_azimuth,orbital_plane,collection_type,super_classe,stac_browser_link
CAPELLA_C13_SP_SLC_HH_20250114135748_20250114135800,94eedf36-0570-431d-ba00-d379e76f4f2e,2025-01-14T13:57:54.312256Z,2025-01-14T13:57:48.361156Z,2025-01-14T13:58:00.263356Z,-155.286915935,19.42108253,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.1,123.9,0.0,,46.1,0.22,0.15,0.28,0.27,0.14,5021.355485824719,9999.65660542927,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-01/capella-open-data-2025-01-14/CAPELLA_C13_SP_SLC_HH_20250114135748_20250114135800/CAPELLA_C13_SP_SLC_HH_20250114135748_20250114135800.json
CAPELLA_C13_SP_SLC_HH_20250106201856_20250106201859,46252f44-cee2-406b-bef6-f6359895592c,2025-01-06T20:18:58.050262Z,2025-01-06T20:18:56.558890Z,2025-01-06T20:18:59.541634Z,122.235942625,-21.7544484,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,29.2,127.9,-0.2,,26.4,0.22,0.46,0.45,0.43,0.43,5021.910516200098,4999.41498610471,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-01/capella-open-data-2025-01-06/CAPELLA_C13_SP_SLC_HH_20250106201856_20250106201859/CAPELLA_C13_SP_SLC_HH_20250106201856_20250106201859.json
CAPELLA_C10_SP_SLC_HH_20240418164135_20240418164204,2b7cbb14-6271-494f-a3cd-d23937400611,2024-04-18T16:41:49.388394Z,2024-04-18T16:41:34.914686Z,2024-04-18T16:42:03.862102Z,136.834566185,-30.429829465,capella-10,capella,spotlight,X,9.65,HH,descending,SLC,left,41.2,209.8,0.0,,37.1,0.32,0.05,0.48,0.46,0.05,5011.16735607304,4999.985460688969,1,1,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-04/capella-open-data-2024-04-18/CAPELLA_C10_SP_SLC_HH_20240418164135_20240418164204/CAPELLA_C10_SP_SLC_HH_20240418164135_20240418164204.json
CAPELLA_C10_SP_GEO_HH_20240422145502_20240422145529,005e96f2-79c5-4dda-9593-f07d7c2b3cb9,2024-04-22T14:55:15.677156Z,2024-04-22T14:55:02.409688Z,2024-04-22T14:55:28.944624Z,136.83450929,-30.42986965,capella-10,capella,spotlight,X,9.65,HH,descending,GEO,left,35.1,211.0,0.0,,31.9,0.38,0.56,0.66,0.35,0.35,5019.891922281526,5136.174059376048,1,9,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-04/capella-open-data-2024-04-22/CAPELLA_C10_SP_GEO_HH_20240422145502_20240422145529/CAPELLA_C10_SP_GEO_HH_20240422145502_20240422145529.json
CAPELLA_C13_SP_GEO_HH_20241206033700_20241206033709,3937f465-7bd1-4610-85f7-4967deed8d8a,2024-12-06T03:37:04.997889Z,2024-12-06T03:37:00.190897Z,2024-12-06T03:37:09.804881Z,-118.072905065,34.83300311,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,37.3,319.3,0.1,,33.6,0.32,0.56,0.52,0.34,0.34,5011.310657781369,10009.703433852512,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-12/capella-open-data-2024-12-06/CAPELLA_C13_SP_GEO_HH_20241206033700_20241206033709/CAPELLA_C13_SP_GEO_HH_20241206033700_20241206033709.json
CAPELLA_C10_SP_GEO_HH_20240222001558_20240222001631,8488288b-3b6c-4338-8ce9-d4fe0105770e,2024-02-22T00:16:14.615928Z,2024-02-22T00:15:58.317155Z,2024-02-22T00:16:30.914702Z,132.91140337000002,-12.684222755,capella-10,capella,spotlight,X,9.65,HH,ascending,GEO,left,48.3,136.6,0.0,,43.2,0.38,0.56,0.51,0.32,0.32,5010.841646763744,5103.234378570807,1,9,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-02/capella-open-data-2024-02-22/CAPELLA_C10_SP_GEO_HH_20240222001558_20240222001631/CAPELLA_C10_SP_GEO_HH_20240222001558_20240222001631.json
CAPELLA_C13_SP_SLC_HH_20250207053127_20250207053203,27de721f-7e43-462a-bc79-78e9fe383e0b,2025-02-07T05:31:45.838704Z,2025-02-07T05:31:27.812930Z,2025-02-07T05:32:03.864478Z,-155.2869167,19.4210815,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.1,124.2,0.0,,46.1,0.26,0.05,0.32,0.31,0.05,5021.408609597627,9999.516306393609,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-02/capella-open-data-2025-02-07/CAPELLA_C13_SP_SLC_HH_20250207053127_20250207053203/CAPELLA_C13_SP_SLC_HH_20250207053127_20250207053203.json
CAPELLA_C13_SP_SLC_HH_20250511182727_20250511182736,61d768b2-e9a9-4650-b1ec-4d83f0106e38,2025-05-11T18:27:32.048883Z,2025-05-11T18:27:30.488635Z,2025-05-11T18:27:33.609131Z,-0.41495706,38.384557635,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,34.7,37.4,0.0,-0.1,31.3,0.22,0.44,0.39,0.36,0.41,5013.255042882412,5120.233930828641,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-05/capella-open-data-2025-05-11/CAPELLA_C13_SP_SLC_HH_20250511182727_20250511182736/CAPELLA_C13_SP_SLC_HH_20250511182727_20250511182736.json
CAPELLA_C13_SP_SLC_HH_20250526211515_20250526211524,7ed2a358-f6ac-4ce2-8fb3-deca396fd30e,2025-05-26T21:15:19.655635Z,2025-05-26T21:15:18.064580Z,2025-05-26T21:15:21.246691Z,-121.87047948,37.31888133,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,36.6,38.4,0.0,-0.1,33.0,0.22,0.44,0.37,0.34,0.41,5010.800126868113,8171.09314248545,1,1,53,spotlight,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-05/capella-open-data-2025-05-26/CAPELLA_C13_SP_SLC_HH_20250526211515_20250526211524/CAPELLA_C13_SP_SLC_HH_20250526211515_20250526211524.json
CAPELLA_C10_SP_GEO_HH_20231017061809_20231017061846,de04bb4f-3506-48d3-8652-8094dd6518ef,2023-10-17T06:18:27.655882Z,2023-10-17T06:18:09.407927Z,2023-10-17T06:18:45.903838Z,122.412248025,-28.81727873,capella-10,capella,spotlight,X,9.65,HH,ascending,GEO,right,54.0,317.9,0.0,,47.8,0.38,0.56,0.47,0.3,0.3,5051.401185749981,5091.67093506204,1,9,45,spotlight_legacy,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2023/capella-open-data-2023-10/capella-open-data-2023-10-17/CAPELLA_C10_SP_GEO_HH_20231017061809_20231017061846/CAPELLA_C10_SP_GEO_HH_20231017061809_20231017061846.json
CAPELLA_C13_SP_GEO_HH_20250908013632_20250908013644,0b44d618-d17e-4639-8a1b-2e31b656299c,2025-09-08T01:36:38.327151Z,2025-09-08T01:36:32.379301Z,2025-09-08T01:36:44.275002Z,-155.28695199,19.42107426,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,52.1,124.2,0.0,0.0,46.1,0.32,0.56,0.4,0.26,0.26,5043.341196038946,10536.34560945772,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-09/capella-open-data-2025-09-08/CAPELLA_C13_SP_GEO_HH_20250908013632_20250908013644/CAPELLA_C13_SP_GEO_HH_20250908013632_20250908013644.json
CAPELLA_C13_SP_SLC_HH_20250512023135_20250512023144,dbeb535d-89b5-4bb5-b71e-8e0f8337aba1,2025-05-12T02:31:39.735302Z,2025-05-12T02:31:38.144101Z,2025-05-12T02:31:41.326504Z,-121.8704795,37.31888124,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,36.6,38.4,0.0,-0.1,33.0,0.22,0.44,0.37,0.34,0.41,5010.782954681881,8170.322107417144,1,1,53,spotlight,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-05/capella-open-data-2025-05-12/CAPELLA_C13_SP_SLC_HH_20250512023135_20250512023144/CAPELLA_C13_SP_SLC_HH_20250512023135_20250512023144.json
CAPELLA_C10_SP_GEO_HH_20240510072932_20240510072959,20830c02-63b9-4368-add6-0272c9ce30b3,2024-05-10T07:29:45.339694Z,2024-05-10T07:29:31.865711Z,2024-05-10T07:29:58.813677Z,136.83451802,-30.42986474,capella-10,capella,spotlight,X,9.65,HH,descending,GEO,left,37.2,210.8,0.0,,33.7,0.38,0.56,0.63,0.35,0.35,5017.10575905069,5077.965126315026,1,9,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-05/capella-open-data-2024-05-10/CAPELLA_C10_SP_GEO_HH_20240510072932_20240510072959/CAPELLA_C10_SP_GEO_HH_20240510072932_20240510072959.json
CAPELLA_C08_SP_GEO_VV_20230224151157_20230224151220,152a2365-debf-4a59-9f52-30e648ef145c,2023-02-24T15:12:08.829534Z,2023-02-24T15:11:57.201002Z,2023-02-24T15:12:20.458066Z,-77.03721892,38.33106094,capella-8,capella,spotlight,X,9.65,VV,descending,GEO,right,40.6,100.3,0.0,,37.1,0.38,0.64,0.58,0.35,0.35,5015.869200442967,5049.162090333572,1,9,97,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2023/capella-open-data-2023-02/capella-open-data-2023-02-24/CAPELLA_C08_SP_GEO_VV_20230224151157_20230224151220/CAPELLA_C08_SP_GEO_VV_20230224151157_20230224151220.json
CAPELLA_C06_SP_GEO_VV_20220513191222_20220513191248,762da479-9270-48ba-9feb-aedf448a6cb4,2022-05-13T19:12:35.756695Z,2022-05-13T19:12:22.972838Z,2022-05-13T19:12:48.540552Z,-83.50530357,42.230702195,capella-6,capella,spotlight,X,9.65,VV,descending,GEO,right,31.2,54.1,0.0,,28.4,0.38,0.64,0.74,0.35,0.35,5018.211780901512,4970.674086541828,1,9,53,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2022/capella-open-data-2022-05/capella-open-data-2022-05-13/CAPELLA_C06_SP_GEO_VV_20220513191222_20220513191248/CAPELLA_C06_SP_GEO_VV_20220513191222_20220513191248.json
CAPELLA_C13_SP_GEO_HH_20250310192354_20250310192406,ddd2e353-963e-4c73-ae22-1d16d634b2fe,2025-03-10T19:24:00.711527Z,2025-03-10T19:23:54.534416Z,2025-03-10T19:24:06.888638Z,-155.270089665,19.40858133,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,54.1,310.2,0.0,,47.7,0.32,0.56,0.39,0.25,0.25,4987.308031846998,5021.706724333821,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-03/capella-open-data-2025-03-10/CAPELLA_C13_SP_GEO_HH_20250310192354_20250310192406/CAPELLA_C13_SP_GEO_HH_20250310192354_20250310192406.json
CAPELLA_C09_SP_SLC_HH_20240308094541_20240308094610,cb7a1f60-b617-49c1-b94f-1b37457b923d,2024-03-08T09:45:55.823143Z,2024-03-08T09:45:54.220192Z,2024-03-08T09:45:57.426094Z,136.83455612,-30.429893235,capella-9,capella,spotlight,X,9.65,HH,descending,SLC,left,43.2,210.0,0.0,,39.0,0.27,0.44,0.39,0.35,0.41,5007.1726774490735,5085.6522603805415,1,1,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-03/capella-open-data-2024-03-08/CAPELLA_C09_SP_SLC_HH_20240308094541_20240308094610/CAPELLA_C09_SP_SLC_HH_20240308094541_20240308094610.json
CAPELLA_C13_SP_GEO_HH_20250328113256_20250328113306,3caa3e14-f9e3-490e-a9a2-e1a3359bb174,2025-03-28T11:33:01.275376Z,2025-03-28T11:32:56.469021Z,2025-03-28T11:33:06.081732Z,-118.07290537,34.833003205,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,37.2,319.4,0.0,0.1,33.5,0.32,0.56,0.52,0.34,0.34,5011.297714102424,10013.850469029856,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-03/capella-open-data-2025-03-28/CAPELLA_C13_SP_GEO_HH_20250328113256_20250328113306/CAPELLA_C13_SP_GEO_HH_20250328113256_20250328113306.json
CAPELLA_C13_SP_SLC_HH_20241215002712_20241215002722,a6e3e8ac-a6ac-46b8-84e9-e5eb81efbdba,2024-12-15T00:27:17.614263Z,2024-12-15T00:27:12.804064Z,2024-12-15T00:27:22.424462Z,-118.07251287,34.832751134999995,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,right,37.3,318.9,0.1,,33.6,0.22,0.15,0.37,0.34,0.14,5020.30103489015,9999.740401713618,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-12/capella-open-data-2024-12-15/CAPELLA_C13_SP_SLC_HH_20241215002712_20241215002722/CAPELLA_C13_SP_SLC_HH_20241215002712_20241215002722.json
CAPELLA_C14_SP_SLC_HH_20240704190607_20240704190618,4b013573-af91-4e95-8c90-0d99c774146e,2024-07-04T19:06:12.872895Z,2024-07-04T19:06:07.789720Z,2024-07-04T19:06:17.956071Z,118.7710607,-23.182932955,capella-14,capella,spotlight,X,9.65,HH,ascending,SLC,right,42.2,314.6,0.0,,37.8,0.27,0.15,0.4,0.38,0.14,5011.777120180834,4999.56991462095,1,1,45,spotlight_legacy,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-07/capella-open-data-2024-07-04/CAPELLA_C14_SP_SLC_HH_20240704190607_20240704190618/CAPELLA_C14_SP_SLC_HH_20240704190607_20240704190618.json
CAPELLA_C13_SP_SLC_HH_20250705004750_20250705004802,30293c97-7401-4e67-a214-b6200db7d4d0,2025-07-05T00:47:56.253953Z,2025-07-05T00:47:54.253240Z,2025-07-05T00:47:58.254667Z,-155.28617441,19.420577725,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.6,124.1,0.0,0.0,46.6,0.22,0.44,0.28,0.26,0.41,5041.633304316954,10286.263826676057,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-07/capella-open-data-2025-07-05/CAPELLA_C13_SP_SLC_HH_20250705004750_20250705004802/CAPELLA_C13_SP_SLC_HH_20250705004750_20250705004802.json
CAPELLA_C13_SP_GEO_HH_20250220042954_20250220043003,9af4639a-6509-4b00-9564-6e44035dd7a6,2025-02-20T04:29:58.612701Z,2025-02-20T04:29:54.139401Z,2025-02-20T04:30:03.086001Z,122.23588426,-21.75450094,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,29.3,127.8,-0.2,,26.5,0.32,0.56,0.65,0.41,0.41,5029.700791505502,5074.273145933075,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-02/capella-open-data-2025-02-20/CAPELLA_C13_SP_GEO_HH_20250220042954_20250220043003/CAPELLA_C13_SP_GEO_HH_20250220042954_20250220043003.json
CAPELLA_C13_SP_SLC_HH_20250916222645_20250916222657,fbd180d8-1dbc-4c57-bfd9-61434d0a048c,2025-09-16T22:26:51.637518Z,2025-09-16T22:26:49.656613Z,2025-09-16T22:26:53.618424Z,-155.286168595,19.42057562,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.1,124.2,0.0,0.0,46.1,0.22,0.44,0.28,0.26,0.41,5042.707239036992,10050.1203657359,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-09/capella-open-data-2025-09-16/CAPELLA_C13_SP_SLC_HH_20250916222645_20250916222657/CAPELLA_C13_SP_SLC_HH_20250916222645_20250916222657.json
CAPELLA_C13_SP_GEO_HH_20251024084103_20251024084113,df6e8c2d-a494-4996-91f0-31b5f26ecca7,2025-10-24T08:41:08.465099Z,2025-10-24T08:41:03.659624Z,2025-10-24T08:41:13.270574Z,-118.072905425,34.833003175,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,37.3,318.9,0.0,0.1,33.5,0.32,0.56,0.52,0.34,0.34,5011.339093327795,10013.189725562965,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-24/CAPELLA_C13_SP_GEO_HH_20251024084103_20251024084113/CAPELLA_C13_SP_GEO_HH_20251024084103_20251024084113.json
