stac_id,collect_id,datetime,start_datetime,end_datetime,center_lon,center_lat,platform,constellation,instrument_mode,frequency_band,center_frequency,polarizations,orbit_state,product_type,observation_direction,incidence_angle,azimuth,squint_angle,layover_angle,look_angle,resolution_range,resolution_azimuth,resolution_ground_range,pixel_spacing_range,pixel_spacing_azimuth,image_length,image_width,looks_range,looks_azimuth,orbital_plane,collection_type,super_classe,stac_browser_link
CAPELLA_C09_SP_SLC_HH_20231113105017_20231113105046,3ca898a5-db4b-4bba-8bde-18551477696a,2023-11-13T10:50:31.842774Z,2023-11-13T10:50:30.252812Z,2023-11-13T10:50:33.432736Z,118.770716095,-23.184268065,capella-9,capella,spotlight,X,9.65,HH,descending,SLC,left,41.1,217.3,0.0,,37.1,0.27,0.44,0.4,0.37,0.41,5015.752609946281,5073.775522203129,1,1,45,spotlight_legacy,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2023/capella-open-data-2023-11/capella-open-data-2023-11-13/CAPELLA_C09_SP_SLC_HH_20231113105017_20231113105046/CAPELLA_C09_SP_SLC_HH_20231113105017_20231113105046.json
CAPELLA_C13_SP_SLC_HH_20241228232842_20241228232845,3164bffc-1579-4915-bc0d-6afa8654d776,2024-12-28T23:28:44.125438Z,2024-12-28T23:28:42.634492Z,2024-12-28T23:28:45.616384Z,122.23594408,-21.75444948,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,29.3,128.7,-0.2,,26.5,0.22,0.46,0.45,0.43,0.43,5021.93809515063,4999.8309824446,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-12/capella-open-data-2024-12-28/CAPELLA_C13_SP_SLC_HH_20241228232842_20241228232845/CAPELLA_C13_SP_SLC_HH_20241228232842_20241228232845.json
CAPELLA_C14_SP_SLC_HH_20240730070412_20240730070446,ad5c776a-be51-42f8-92ab-760293167b7f,2024-07-30T07:04:30.084664Z,2024-07-30T07:04:13.059351Z,2024-07-30T07:04:47.109977Z,-121.51569666,39.53440265,capella-14,capella,spotlight,X,9.65,HH,ascending,SLC,right,48.9,349.4,0.0,,43.5,0.32,0.05,0.42,0.4,0.05,5010.793813533379,4999.384742926804,1,1,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-07/capella-open-data-2024-07-30/CAPELLA_C14_SP_SLC_HH_20240730070412_20240730070446/CAPELLA_C14_SP_SLC_HH_20240730070412_20240730070446.json
CAPELLA_C13_SP_GEO_HH_20250430064438_20250430064447,65385f4f-e416-4621-9ec3-7d7cb4825d0c,2025-04-30T06:44:42.841816Z,2025-04-30T06:44:38.067077Z,2025-04-30T06:44:47.616555Z,-121.870451975,37.31896091,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,36.6,39.0,0.0,-0.1,33.0,0.32,0.56,0.53,0.34,0.34,5010.753120567189,8189.572785459983,1,3,53,spotlight,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-04/capella-open-data-2025-04-30/CAPELLA_C13_SP_GEO_HH_20250430064438_20250430064447/CAPELLA_C13_SP_GEO_HH_20250430064438_20250430064447.json
CAPELLA_C14_SP_GEO_HH_20240818010936_20240818010947,dc2295ed-7e48-41ec-bb79-362c159af850,2024-08-18T01:09:41.805316Z,2024-08-18T01:09:36.741634Z,2024-08-18T01:09:46.868999Z,118.771379965,-23.18337155,capella-14,capella,spotlight,X,9.65,HH,ascending,GEO,right,42.0,314.7,0.0,,37.7,0.38,0.56,0.57,0.36,0.36,5053.658787747088,5243.292354483361,1,3,45,spotlight_legacy,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-08/capella-open-data-2024-08-18/CAPELLA_C14_SP_GEO_HH_20240818010936_20240818010947/CAPELLA_C14_SP_GEO_HH_20240818010936_20240818010947.json
CAPELLA_C13_SP_SLC_HH_20250114000157_20250114000210,9ed58909-ed20-429d-b358-b25208f6a752,2025-01-14T00:02:04.229389Z,2025-01-14T00:01:57.831791Z,2025-01-14T00:02:10.626988Z,-155.28689613,19.42095817,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,55.8,49.8,0.0,,49.1,0.22,0.15,0.27,0.25,0.14,5020.788828559744,9999.694447619986,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-01/capella-open-data-2025-01-14/CAPELLA_C13_SP_SLC_HH_20250114000157_20250114000210/CAPELLA_C13_SP_SLC_HH_20250114000157_20250114000210.json
CAPELLA_C10_SP_SLC_HH_20230523113346_20230523113417,0744f9e2-6630-4b27-a960-17997ca297ae,2023-05-23T11:34:01.712093Z,2023-05-23T11:34:00.006004Z,2023-05-23T11:34:03.418182Z,118.770749435,-23.18423378,capella-10,capella,spotlight,X,9.65,HH,descending,SLC,left,44.4,216.8,0.0,,39.8,0.27,0.45,0.38,0.35,0.41,5007.725058095479,5090.824837799622,1,1,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2023/capella-open-data-2023-05/capella-open-data-2023-05-23/CAPELLA_C10_SP_SLC_HH_20230523113346_20230523113417/CAPELLA_C10_SP_SLC_HH_20230523113346_20230523113417.json
CAPELLA_C13_SP_SLC_HH_20250913061424_20250913061434,7d4d95cc-58ec-435f-a99a-255644b0118b,2025-09-13T06:14:29.333448Z,2025-09-13T06:14:27.742501Z,2025-09-13T06:14:30.924395Z,-121.87047954,37.318881575,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,36.6,38.4,0.0,-0.1,32.9,0.22,0.44,0.37,0.34,0.41,5010.723711358029,8172.137005384615,1,1,53,spotlight,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-09/capella-open-data-2025-09-13/CAPELLA_C13_SP_SLC_HH_20250913061424_20250913061434/CAPELLA_C13_SP_SLC_HH_20250913061424_20250913061434.json
CAPELLA_C14_SP_SLC_HH_20240614090521_20240614090549,020047b1-0910-409d-9413-68e4d17033b7,2024-06-14T09:05:34.885015Z,2024-06-14T09:05:20.515315Z,2024-06-14T09:05:49.254716Z,-155.28666144,19.40479827,capella-14,capella,spotlight,X,9.65,HH,descending,SLC,right,37.4,43.2,0.0,,33.7,0.32,0.05,0.52,0.49,0.05,5034.260009034123,5000.151758302608,1,1,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-06/capella-open-data-2024-06-14/CAPELLA_C14_SP_SLC_HH_20240614090521_20240614090549/CAPELLA_C14_SP_SLC_HH_20240614090521_20240614090549.json
CAPELLA_C13_SP_SLC_HH_20241127064647_20241127064656,8128656a-704e-46d7-9438-3240937179c0,2024-11-27T06:46:51.864664Z,2024-11-27T06:46:47.053840Z,2024-11-27T06:46:56.675489Z,-118.07251295,34.832751195,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,right,37.3,319.4,0.1,,33.6,0.22,0.15,0.37,0.34,0.14,5020.327569165101,9999.677145340424,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-11/capella-open-data-2024-11-27/CAPELLA_C13_SP_SLC_HH_20241127064647_20241127064656/CAPELLA_C13_SP_SLC_HH_20241127064647_20241127064656.json
CAPELLA_C10_SP_GEO_HH_20240501111442_20240501111510,0e866bf5-faf4-4d53-b5fc-267281af8c36,2024-05-01T11:14:56.226978Z,2024-05-01T11:14:42.581001Z,2024-05-01T11:15:09.872955Z,136.834518725,-30.42986896,capella-10,capella,spotlight,X,9.65,HH,descending,GEO,left,38.4,210.7,0.0,,34.8,0.38,0.56,0.61,0.35,0.35,5015.606917621504,5142.221254233327,1,9,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-05/capella-open-data-2024-05-01/CAPELLA_C10_SP_GEO_HH_20240501111442_20240501111510/CAPELLA_C10_SP_GEO_HH_20240501111442_20240501111510.json
CAPELLA_C13_SP_GEO_HH_20250106201856_20250106201859,46252f44-cee2-406b-bef6-f6359895592c,2025-01-06T20:18:58.047404Z,2025-01-06T20:18:56.558851Z,2025-01-06T20:18:59.535958Z,122.23588076,-21.754505665,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,29.2,127.9,-0.2,,26.4,0.32,1.67,0.65,0.42,0.42,5028.647673699728,5081.27206783298,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-01/capella-open-data-2025-01-06/CAPELLA_C13_SP_GEO_HH_20250106201856_20250106201859/CAPELLA_C13_SP_GEO_HH_20250106201856_20250106201859.json
CAPELLA_C13_SP_SLC_VV_20250820092405_20250820092446,10238de2-f942-42ff-a4ce-827e5f3e5cc2,2025-08-20T09:24:26.009607Z,2025-08-20T09:24:05.170789Z,2025-08-20T09:24:46.848425Z,-155.28247276000002,19.40852807,capella-13,capella,spotlight,X,9.6,VV,ascending,SLC,right,54.1,310.1,0.0,0.0,47.7,0.27,0.05,0.33,0.31,0.04,5010.569729780484,4999.78302944303,1,1,53,spotlight_ultra,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-08/capella-open-data-2025-08-20/CAPELLA_C13_SP_SLC_VV_20250820092405_20250820092446/CAPELLA_C13_SP_SLC_VV_20250820092405_20250820092446.json
CAPELLA_C13_SP_SLC_HH_20250209143220_20250209143259,810e2f02-c5e3-4c53-bc8d-630ac6fbec23,2025-02-09T14:32:39.670561Z,2025-02-09T14:32:20.301060Z,2025-02-09T14:32:59.040062Z,-155.28689686500002,19.42095703,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,55.8,49.9,0.0,,49.1,0.26,0.05,0.31,0.29,0.05,5020.938685346469,9999.57459318236,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-02/capella-open-data-2025-02-09/CAPELLA_C13_SP_SLC_HH_20250209143220_20250209143259/CAPELLA_C13_SP_SLC_HH_20250209143220_20250209143259.json
CAPELLA_C10_SP_GEO_HH_20231121074344_20231121074415,0684ed85-66af-48f8-a282-d8158d51a8f6,2023-11-21T07:44:00.177472Z,2023-11-21T07:43:44.622813Z,2023-11-21T07:44:15.732131Z,118.770425925,-23.184629195,capella-10,capella,spotlight,X,9.65,HH,descending,GEO,left,45.2,216.7,0.0,,40.5,0.38,0.56,0.54,0.34,0.34,5006.957448995496,5134.018561129094,1,9,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2023/capella-open-data-2023-11/capella-open-data-2023-11-21/CAPELLA_C10_SP_GEO_HH_20231121074344_20231121074415/CAPELLA_C10_SP_GEO_HH_20231121074344_20231121074415.json
CAPELLA_C13_SP_GEO_HH_20250206153535_20250206153614,06eb1640-eaa4-4fbe-8ac1-31bcb6646240,2025-02-06T15:35:55.004556Z,2025-02-06T15:35:35.725524Z,2025-02-06T15:36:14.283588Z,-155.286236385,19.42144026,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,55.8,49.9,0.0,,49.1,0.32,0.56,0.38,0.25,0.25,4981.583538111925,10087.764123332592,1,9,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-02/capella-open-data-2025-02-06/CAPELLA_C13_SP_GEO_HH_20250206153535_20250206153614/CAPELLA_C13_SP_GEO_HH_20250206153535_20250206153614.json
CAPELLA_C09_SP_GEO_HH_20240426203259_20240426203333,3ae97320-7006-44d3-a01b-fab9131dd151,2024-04-26T20:33:16.050185Z,2024-04-26T20:32:59.430929Z,2024-04-26T20:33:32.669442Z,132.911398055,-12.684221805,capella-9,capella,spotlight,X,9.65,HH,ascending,GEO,left,51.9,136.5,0.0,,46.4,0.38,0.56,0.48,0.31,0.31,5005.909502221855,5092.4839166143065,1,9,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-04/capella-open-data-2024-04-26/CAPELLA_C09_SP_GEO_HH_20240426203259_20240426203333/CAPELLA_C09_SP_GEO_HH_20240426203259_20240426203333.json
CAPELLA_C13_SP_GEO_HH_20241229191055_20241229191059,aa31e0f6-eda0-40a8-851d-ee7383995969,2024-12-29T19:10:58.220361Z,2024-12-29T19:10:56.620640Z,2024-12-29T19:10:59.820082Z,-118.072910405,34.832999845,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,37.2,318.5,0.1,,33.5,0.32,1.67,0.52,0.34,0.34,5010.160001885826,10015.865743500652,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-12/capella-open-data-2024-12-29/CAPELLA_C13_SP_GEO_HH_20241229191055_20241229191059/CAPELLA_C13_SP_GEO_HH_20241229191055_20241229191059.json
CAPELLA_C13_SP_GEO_HH_20250907114041_20250907114054,2cef576a-8b94-437f-ae13-10e40b2587a8,2025-09-07T11:40:47.692403Z,2025-09-07T11:40:41.300075Z,2025-09-07T11:40:54.084731Z,-155.28625692999998,19.421423765,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,55.9,49.7,0.0,0.0,49.1,0.32,0.56,0.38,0.25,0.25,4981.604088509319,10087.647857280062,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-09/capella-open-data-2025-09-07/CAPELLA_C13_SP_GEO_HH_20250907114041_20250907114054/CAPELLA_C13_SP_GEO_HH_20250907114041_20250907114054.json
CAPELLA_C13_SP_SLC_HH_20251004160708_20251004160720,061b6bef-a5b0-4b65-baea-bfc612cf6b5c,2025-10-04T16:07:14.827482Z,2025-10-04T16:07:12.845932Z,2025-10-04T16:07:16.809033Z,-155.28615746000003,19.42056817,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.1,124.1,-0.1,0.0,46.1,0.22,0.44,0.28,0.26,0.41,5042.690017881869,10362.493487483853,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-04/CAPELLA_C13_SP_SLC_HH_20251004160708_20251004160720/CAPELLA_C13_SP_SLC_HH_20251004160708_20251004160720.json
CAPELLA_C13_SP_GEO_HH_20250605112103_20250605112115,04d7bc73-cbb7-4f1d-ac6f-14c3ead97971,2025-06-05T11:21:09.583377Z,2025-06-05T11:21:03.636838Z,2025-06-05T11:21:15.529917Z,-155.286900185,19.421038045000003,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,52.1,124.2,0.0,0.0,46.1,0.32,0.56,0.4,0.26,0.26,5043.403664700134,10212.211080603538,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-06/capella-open-data-2025-06-05/CAPELLA_C13_SP_GEO_HH_20250605112103_20250605112115/CAPELLA_C13_SP_GEO_HH_20250605112103_20250605112115.json
CAPELLA_C13_SP_GEO_HH_20250128083814_20250128083824,0dda45c8-e87b-4b8e-b64c-1a91af44ff8f,2025-01-28T08:38:19.436392Z,2025-01-28T08:38:14.689324Z,2025-01-28T08:38:24.183461Z,-118.072547585,34.832668420000005,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,37.3,318.8,0.1,,33.6,0.32,0.56,0.52,0.34,0.34,5011.293981676569,10010.93799328182,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-01/capella-open-data-2025-01-28/CAPELLA_C13_SP_GEO_HH_20250128083814_20250128083824/CAPELLA_C13_SP_GEO_HH_20250128083814_20250128083824.json
CAPELLA_C14_SP_GEO_HH_20240627182210_20240627182238,21dec72e-fb79-4554-80b1-513b40cec4b2,2024-06-27T18:22:25.433162Z,2024-06-27T18:22:11.506977Z,2024-06-27T18:22:39.359347Z,-155.286490765,19.404815635,capella-14,capella,spotlight,X,9.65,HH,ascending,GEO,left,35.9,133.8,0.0,,32.5,0.38,0.56,0.65,0.35,0.35,5055.595294322033,5128.088348309356,1,9,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-06/capella-open-data-2024-06-27/CAPELLA_C14_SP_GEO_HH_20240627182210_20240627182238/CAPELLA_C14_SP_GEO_HH_20240627182210_20240627182238.json
CAPELLA_C13_SP_GEO_HH_20250311035939_20250311040017,c888e193-f89a-46d3-8f87-7ed0a117c81c,2025-03-11T03:59:58.584803Z,2025-03-11T03:59:39.296118Z,2025-03-11T04:00:17.873488Z,-155.28625714,19.421423195000003,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,55.9,49.8,0.0,,49.1,0.32,0.56,0.38,0.25,0.25,4981.52293791406,10085.418619671924,1,9,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-03/capella-open-data-2025-03-11/CAPELLA_C13_SP_GEO_HH_20250311035939_20250311040017/CAPELLA_C13_SP_GEO_HH_20250311035939_20250311040017.json
CAPELLA_C10_SP_GEO_HH_20231014231817_20231014231847,210a061e-a663-4e29-8f24-ef5673b3231f,2023-10-14T23:18:31.833939Z,2023-10-14T23:18:16.582797Z,2023-10-14T23:18:47.085081Z,118.77037369,-23.18468932,capella-10,capella,spotlight,X,9.65,HH,descending,GEO,left,42.6,216.9,0.0,,38.3,0.38,0.56,0.56,0.35,0.35,5009.583817986316,5090.155997057298,1,9,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2023/capella-open-data-2023-10/capella-open-data-2023-10-14/CAPELLA_C10_SP_GEO_HH_20231014231817_20231014231847/CAPELLA_C10_SP_GEO_HH_20231014231817_20231014231847.json
