stac_id,collect_id,datetime,start_datetime,end_datetime,center_lon,center_lat,platform,constellation,instrument_mode,frequency_band,center_frequency,polarizations,orbit_state,product_type,observation_direction,incidence_angle,azimuth,squint_angle,layover_angle,look_angle,resolution_range,resolution_azimuth,resolution_ground_range,pixel_spacing_range,pixel_spacing_azimuth,image_length,image_width,looks_range,looks_azimuth,orbital_plane,collection_type
CAPELLA_C13_SP_SLC_HH_20251111122850_20251111122903,9d88301a-5646-4931-b81d-1129b63b2049,2025-11-11T12:28:56.582394Z,2025-11-11T12:28:54.452785Z,2025-11-11T12:28:58.712003Z,-155.286284835,19.42148228,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,55.8,49.6,0,0,49.1,0.22,0.44,0.27,0.25,0.41,4981.369918023367,10197.050171376886,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251109032756_20251109032808,db7ef1f0-6cd6-4d9a-a34b-d354bafcb9d0,2025-11-09T03:28:02.304321Z,2025-11-09T03:28:00.322488Z,2025-11-09T03:28:04.286155Z,-155.28615777,19.420568340000003,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.1,124.2,0,0,46.1,0.22,0.44,0.28,0.26,0.41,5042.6686291171645,10360.525745477928,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251112022441_20251112022453,f1e3c4b6-a64f-466a-900b-cec64250a0eb,2025-11-12T02:24:47.676937Z,2025-11-12T02:24:41.730047Z,2025-11-12T02:24:53.623828Z,-155.286900345,19.421037849999998,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,52.1,124.2,0,0,46.1,0.32,0.56,0.4,0.26,0.26,5043.347225857555,10212.238192675879,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251105111537_20251105111546,6509bd67-f6d9-499e-8106-af9ac74331bd,2025-11-05T11:15:41.848267Z,2025-11-05T11:15:40.257439Z,2025-11-05T11:15:43.439095Z,-121.87047974000001,37.31888146,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,36.6,38.4,0,-0.1,33,0.22,0.44,0.37,0.34,0.41,5010.690202587675,8170.638056922533,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251108032444_20251108032453,b2418b56-3b08-4021-be5f-f23cb8701c09,2025-11-08T03:24:49.064566Z,2025-11-08T03:24:44.258687Z,2025-11-08T03:24:53.870445Z,-118.0729051,34.83300336,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,37.3,318.9,0,0.1,33.6,0.32,0.56,0.52,0.34,0.34,5011.3770468907005,10012.766419657644,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251109032756_20251109032808,db7ef1f0-6cd6-4d9a-a34b-d354bafcb9d0,2025-11-09T03:28:02.304377Z,2025-11-09T03:27:56.355523Z,2025-11-09T03:28:08.253232Z,-155.286922315,19.421055965,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,52.1,124.2,0,0,46.1,0.32,0.56,0.4,0.26,0.26,5043.303480172028,10534.792613136016,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251105111537_20251105111546,6509bd67-f6d9-499e-8106-af9ac74331bd,2025-11-05T11:15:41.844336Z,2025-11-05T11:15:37.072989Z,2025-11-05T11:15:46.615684Z,-121.870451945,37.318960965,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,36.6,38.4,0,-0.1,33,0.32,0.56,0.53,0.34,0.34,5010.715256342085,8190.04478852851,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251105143522_20251105143535,7a6bebc3-d4d6-43fb-b8b8-b2ff5f752f9f,2025-11-05T14:35:28.814912Z,2025-11-05T14:35:22.422744Z,2025-11-05T14:35:35.207080Z,-155.28625679499999,19.421423795000003,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,55.8,49.7,0,0,49.1,0.32,0.56,0.38,0.25,0.25,4981.655578050142,10088.212062799426,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251106043113_20251106043125,a91d1d6c-7d28-4393-a047-39c83dd943ea,2025-11-06T04:31:19.292155Z,2025-11-06T04:31:17.311046Z,2025-11-06T04:31:21.273265Z,-155.286129385,19.420549809999997,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.1,124.2,0,0.1,46.1,0.22,0.44,0.28,0.26,0.41,5042.6453641399485,10362.23615433932,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251111122850_20251111122903,9d88301a-5646-4931-b81d-1129b63b2049,2025-11-11T12:28:56.582521Z,2025-11-11T12:28:50.189885Z,2025-11-11T12:29:02.975157Z,-155.28623650999998,19.42144056,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,55.8,49.6,0,0,49.1,0.32,0.56,0.38,0.25,0.25,4981.6270810908845,10088.125316544458,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251102121853_20251102121903,783bd741-a77f-4201-8c09-03b6ac46dd0d,2025-11-02T12:18:58.320027Z,2025-11-02T12:18:56.728938Z,2025-11-02T12:18:59.911116Z,-121.870479475,37.318881364999996,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,36.6,38.4,0,-0.1,33,0.22,0.44,0.37,0.34,0.41,5010.78917606729,8171.2840108685705,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251102153839_20251102153851,3e3721f7-f4e3-4e7d-9e40-60eb0995f983,2025-11-02T15:38:45.463188Z,2025-11-02T15:38:39.083908Z,2025-11-02T15:38:51.842469Z,-155.28623614,19.42144056,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,55.8,49.7,0,0,49.1,0.32,0.56,0.38,0.25,0.25,4981.666133476508,10089.205414504951,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251102121853_20251102121903,783bd741-a77f-4201-8c09-03b6ac46dd0d,2025-11-02T12:18:58.320075Z,2025-11-02T12:18:53.543857Z,2025-11-02T12:19:03.096294Z,-121.870859395,37.318553935,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,36.6,38.4,0,-0.1,33,0.32,0.56,0.53,0.34,0.34,5010.8102037408225,8191.212970635963,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251102153839_20251102153851,3e3721f7-f4e3-4e7d-9e40-60eb0995f983,2025-11-02T15:38:45.450317Z,2025-11-02T15:38:43.320850Z,2025-11-02T15:38:47.579785Z,-155.28628456500002,19.4214822,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,55.8,49.7,0,0,49.1,0.22,0.44,0.27,0.25,0.41,4981.408262672361,10198.173286387439,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251102053116_20251102053126,ae16be32-d2f3-4d94-8de6-8c082e1f877c,2025-11-02T05:31:21.805036Z,2025-11-02T05:31:20.203713Z,2025-11-02T05:31:23.406360Z,-118.072881405,34.83317249,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,right,37.3,318.9,0,0.1,33.6,0.22,0.44,0.36,0.34,0.41,5011.323864738621,10059.547120306546,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251102053116_20251102053126,ae16be32-d2f3-4d94-8de6-8c082e1f877c,2025-11-02T05:31:21.805086Z,2025-11-02T05:31:16.998333Z,2025-11-02T05:31:26.611839Z,-118.07290501,34.83300326,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,37.3,318.9,0,0.1,33.6,0.32,0.56,0.52,0.34,0.34,5011.314101748245,10011.038984295697,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251030132209_20251030132219,b546d1b0-a077-40bf-a876-6d6b81b8750b,2025-10-30T13:22:14.113819Z,2025-10-30T13:22:12.522753Z,2025-10-30T13:22:15.704886Z,-121.8704797,37.31888138,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,36.6,38.4,0,-0.1,33,0.22,0.44,0.37,0.34,0.41,5010.724418921939,8170.112186413391,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251103053430_20251103053442,20c939f3-53bd-41a9-8f63-48d33b3ee9af,2025-11-03T05:34:36.248631Z,2025-11-03T05:34:34.267764Z,2025-11-03T05:34:38.229498Z,-155.286168545,19.420575635,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.1,124.2,0,0,46.1,0.22,0.44,0.28,0.26,0.41,5042.702916060247,10050.292118219248,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251031063745_20251031063757,1102fbba-d5f9-4ff9-84b9-3633eb45279b,2025-10-31T06:37:51.703680Z,2025-10-31T06:37:49.722527Z,2025-10-31T06:37:53.684834Z,-155.2861405,19.420557615,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.1,124.2,0,0,46.1,0.22,0.44,0.28,0.26,0.41,5042.694033945753,10049.544836146844,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251027174510_20251027174523,c2519720-d828-48ca-ab55-c0ab4408cc8e,2025-10-27T17:45:17.353396Z,2025-10-27T17:45:10.961436Z,2025-10-27T17:45:23.745357Z,-155.28623611,19.421440495,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,55.8,50.3,-0.4,-0.5,49.1,0.32,0.56,0.38,0.25,0.25,4981.691418546276,10089.188467557666,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251030164154_20251030164207,f5bb05fa-ff6b-4a01-9a0d-e8b56367d472,2025-10-30T16:42:01.191577Z,2025-10-30T16:41:59.062069Z,2025-10-30T16:42:03.321086Z,-155.286305045,19.42146576,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,55.8,49.7,0,0,49.1,0.22,0.44,0.27,0.25,0.41,4981.372100431132,10197.498523777384,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251028074102_20251028074113,0a0ceb50-3660-4566-80ad-d43ce6754d8c,2025-10-28T07:41:08.051126Z,2025-10-28T07:41:06.070298Z,2025-10-28T07:41:10.031955Z,-155.286168525,19.420575565,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.1,124.2,0,0,46.1,0.22,0.44,0.28,0.26,0.41,5042.703517043932,10050.553308609582,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251030063432_20251030063442,006e2988-b660-4795-a103-0106a763c807,2025-10-30T06:34:37.723917Z,2025-10-30T06:34:32.916790Z,2025-10-30T06:34:42.531045Z,-118.072548945,34.83266741,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,37.3,318.9,0,0.1,33.6,0.32,0.56,0.52,0.34,0.34,5010.876934647941,10010.150458639067,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251103053430_20251103053442,20c939f3-53bd-41a9-8f63-48d33b3ee9af,2025-11-03T05:34:36.248627Z,2025-11-03T05:34:30.302503Z,2025-11-03T05:34:42.194751Z,-155.286930065,19.421056285,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,52.1,124.2,0,0,46.1,0.32,0.56,0.4,0.26,0.26,5043.3712989217,10213.335636409633,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251030164154_20251030164207,f5bb05fa-ff6b-4a01-9a0d-e8b56367d472,2025-10-30T16:42:01.191637Z,2025-10-30T16:41:54.799539Z,2025-10-30T16:42:07.583735Z,-155.28625670000002,19.421423765,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,55.8,49.7,0,0,49.1,0.32,0.56,0.38,0.25,0.25,4981.62972085368,10088.50205017117,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251030063432_20251030063442,006e2988-b660-4795-a103-0106a763c807,2025-10-30T06:34:37.723868Z,2025-10-30T06:34:36.122503Z,2025-10-30T06:34:39.325234Z,-118.07288288500001,34.833171255,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,right,37.3,318.9,0,0.1,33.6,0.22,0.44,0.36,0.34,0.41,5010.899332138566,10058.515098603506,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251031063745_20251031063757,1102fbba-d5f9-4ff9-84b9-3633eb45279b,2025-10-31T06:37:51.703736Z,2025-10-31T06:37:45.756928Z,2025-10-31T06:37:57.650544Z,-155.28690027,19.421037935,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,52.1,124.2,0,0,46.1,0.32,0.56,0.4,0.26,0.26,5043.364531831328,10212.310449799239,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251027174510_20251027174523,c2519720-d828-48ca-ab55-c0ab4408cc8e,2025-10-27T17:45:17.353208Z,2025-10-27T17:45:15.223786Z,2025-10-27T17:45:19.482630Z,-155.286284535,19.421482140000002,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,55.8,50.3,-0.4,-0.5,49.1,0.22,0.44,0.27,0.25,0.41,4981.433592181825,10198.154151945364,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251030132209_20251030132219,b546d1b0-a077-40bf-a876-6d6b81b8750b,2025-10-30T13:22:14.113915Z,2025-10-30T13:22:09.337934Z,2025-10-30T13:22:18.889896Z,-121.870451885,37.31896084,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,36.6,38.4,0,-0.1,33,0.32,0.56,0.53,0.34,0.34,5010.74956613727,8189.522741737308,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251028074102_20251028074113,0a0ceb50-3660-4566-80ad-d43ce6754d8c,2025-10-28T07:41:08.051239Z,2025-10-28T07:41:02.105387Z,2025-10-28T07:41:13.997092Z,-155.28690049,19.42103788,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,52.1,124.2,0,0,46.1,0.32,0.56,0.4,0.26,0.26,5043.374858388277,10213.443986714705,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251027142525_20251027142535,eb7cd645-464a-405a-866e-09b781e34484,2025-10-27T14:25:30.211894Z,2025-10-27T14:25:28.620745Z,2025-10-27T14:25:31.803044Z,-121.870479465,37.318881305000005,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,36.6,38.3,0.1,0,33,0.22,0.44,0.37,0.34,0.41,5010.808274411955,8170.904717081019,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251027073748_20251027073758,024b6620-c9ea-4d48-a8a0-1cc6bc66c566,2025-10-27T07:37:53.708741Z,2025-10-27T07:37:52.107371Z,2025-10-27T07:37:55.310112Z,-118.07288126,34.833172395,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,right,37.3,318.9,0,0.1,33.6,0.22,0.44,0.36,0.34,0.41,5011.317277760718,10058.344634996865,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251025084417_20251025084429,b2cdb3e8-0932-457c-9fc6-fd2f06b43ac4,2025-10-25T08:44:23.638451Z,2025-10-25T08:44:21.657333Z,2025-10-25T08:44:25.619569Z,-155.28616858499998,19.4205757,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.1,124.2,0,0.1,46.1,0.22,0.44,0.28,0.26,0.41,5042.708605442107,10049.699737074592,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251027142525_20251027142535,eb7cd645-464a-405a-866e-09b781e34484,2025-10-27T14:25:30.211943Z,2025-10-27T14:25:25.435673Z,2025-10-27T14:25:34.988214Z,-121.87085936,37.318553905,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,36.6,38.3,0.1,0,33,0.32,0.56,0.53,0.34,0.34,5010.829336419806,8190.831662662572,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251024184825_20251024184838,eef62d5e-f73a-40ef-8bfb-eec2d3f3a6e4,2025-10-24T18:48:32.384005Z,2025-10-24T18:48:25.990103Z,2025-10-24T18:48:38.777908Z,-155.28625691,19.42142381,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,55.8,49.7,0,0,49.1,0.32,0.56,0.38,0.25,0.25,4981.569797180233,10087.962620330316,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251025084417_20251025084429,b2cdb3e8-0932-457c-9fc6-fd2f06b43ac4,2025-10-25T08:44:23.600333Z,2025-10-25T08:44:17.691897Z,2025-10-25T08:44:29.508769Z,-155.286929915,19.421056315,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,52.1,124.2,0,0.1,46.1,0.32,0.56,0.4,0.26,0.26,5043.376808240153,10212.681060898889,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251024084103_20251024084113,df6e8c2d-a494-4996-91f0-31b5f26ecca7,2025-10-24T08:41:08.465099Z,2025-10-24T08:41:03.659624Z,2025-10-24T08:41:13.270574Z,-118.072905425,34.833003175,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,37.3,318.9,0,0.1,33.5,0.32,0.56,0.52,0.34,0.34,5011.339093327795,10013.189725562965,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251027073748_20251027073758,024b6620-c9ea-4d48-a8a0-1cc6bc66c566,2025-10-27T07:37:53.708839Z,2025-10-27T07:37:48.901941Z,2025-10-27T07:37:58.515737Z,-118.07290489,34.833003245,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,37.3,318.9,0,0.1,33.6,0.32,0.56,0.52,0.34,0.34,5011.307672352999,10009.86046271188,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251024152840_20251024152849,dee1c445-4f7e-4faa-9a00-06d96aaed0f2,2025-10-24T15:28:45.065330Z,2025-10-24T15:28:43.473777Z,2025-10-24T15:28:46.656883Z,-121.87047999500001,37.318881125000004,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,36.6,38.4,0,-0.1,33,0.22,0.44,0.37,0.34,0.41,5010.6984887420695,8167.810856684269,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251021195142_20251021195155,adb31eb8-6ec7-4bdc-aeb8-9706f9b39d5f,2025-10-21T19:51:48.831871Z,2025-10-21T19:51:46.702227Z,2025-10-21T19:51:50.961516Z,-155.28630501499998,19.421465755,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,55.8,49.7,0,0,49.1,0.22,0.44,0.27,0.25,0.41,4981.401334489314,10197.609218234371,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251024184825_20251024184838,eef62d5e-f73a-40ef-8bfb-eec2d3f3a6e4,2025-10-24T18:48:32.384009Z,2025-10-24T18:48:30.253872Z,2025-10-24T18:48:34.514146Z,-155.286284815,19.42148227,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,55.8,49.7,0,0,49.1,0.22,0.44,0.27,0.25,0.41,4981.311936498723,10196.94754518988,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251021163157_20251021163206,fee3492e-9e7f-4db0-ae45-bf654323396e,2025-10-21T16:32:01.672813Z,2025-10-21T16:32:00.081552Z,2025-10-21T16:32:03.264075Z,-121.87088377500001,37.318472605,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,36.6,38.4,0,-0.1,33,0.22,0.44,0.37,0.34,0.41,5010.783868291484,8168.586738235951,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251022094733_20251022094745,8ec318e3-72b3-4f3e-8b48-4caf423ed13b,2025-10-22T09:47:39.843659Z,2025-10-22T09:47:33.897841Z,2025-10-22T09:47:45.789477Z,-155.286900435,19.42103796,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,52.1,124.2,0,0.1,46.1,0.32,0.56,0.4,0.26,0.26,5043.3973020195535,10213.512584613316,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251021163157_20251021163206,fee3492e-9e7f-4db0-ae45-bf654323396e,2025-10-21T16:32:01.672859Z,2025-10-21T16:31:56.896266Z,2025-10-21T16:32:06.449452Z,-121.870859385,37.3185539,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,36.6,38.4,0,-0.1,33,0.32,0.56,0.53,0.34,0.34,5010.811969445545,8189.303041419552,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251024152840_20251024152849,dee1c445-4f7e-4faa-9a00-06d96aaed0f2,2025-10-24T15:28:45.065380Z,2025-10-24T15:28:40.287789Z,2025-10-24T15:28:49.842972Z,-121.87085957,37.318553980000004,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,36.6,38.4,0,-0.1,33,0.32,0.56,0.53,0.34,0.34,5010.719651302112,8187.73571021895,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251022094733_20251022094745,8ec318e3-72b3-4f3e-8b48-4caf423ed13b,2025-10-22T09:47:39.843374Z,2025-10-22T09:47:37.862659Z,2025-10-22T09:47:41.824090Z,-155.28614034499998,19.42055759,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.1,124.2,0,0.1,46.1,0.22,0.44,0.28,0.26,0.41,5042.726423957618,10050.639973818528,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251021195142_20251021195155,adb31eb8-6ec7-4bdc-aeb8-9706f9b39d5f,2025-10-21T19:51:48.831994Z,2025-10-21T19:51:42.439291Z,2025-10-21T19:51:55.224697Z,-155.28625666,19.421423755,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,55.8,49.7,0,0,49.1,0.32,0.56,0.38,0.25,0.25,4981.660213048395,10088.609348678336,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251024084103_20251024084113,df6e8c2d-a494-4996-91f0-31b5f26ecca7,2025-10-24T08:41:08.465051Z,2025-10-24T08:41:06.864111Z,2025-10-24T08:41:10.065991Z,-118.07288186,34.833172535,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,right,37.3,318.9,0,0.1,33.5,0.22,0.44,0.37,0.34,0.41,5011.348802506629,10061.737593115435,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251021094420_20251021094429,4db84fa3-9937-4563-a23e-c3e6f55a458c,2025-10-21T09:44:25.085527Z,2025-10-21T09:44:23.484066Z,2025-10-21T09:44:26.686988Z,-118.072524105,34.8328333,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,right,37.3,318.9,0,0.1,33.6,0.22,0.44,0.36,0.34,0.41,5011.31811350759,10057.983923102684,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251021094420_20251021094429,4db84fa3-9937-4563-a23e-c3e6f55a458c,2025-10-21T09:44:25.085623Z,2025-10-21T09:44:20.278756Z,2025-10-21T09:44:29.892491Z,-118.072904905,34.833003274999996,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,37.3,318.9,0,0.1,33.6,0.32,0.56,0.52,0.34,0.34,5011.314412346082,10010.306281010811,1,3,53,spotlight
