stac_id,super_classe,confianca,center_lat,center_lon,stac_browser_link
CAPELLA_C13_SP_SLC_HH_20251105111537_20251105111546,urbano,0.6087,37.31888146,-121.87047974,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-05/CAPELLA_C13_SP_SLC_HH_20251105111537_20251105111546/CAPELLA_C13_SP_SLC_HH_20251105111537_20251105111546.json
CAPELLA_C13_SP_GEO_HH_20251108032444_20251108032453,nao_urbano,0.8003,34.83300336,-118.0729051,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-08/CAPELLA_C13_SP_GEO_HH_20251108032444_20251108032453/CAPELLA_C13_SP_GEO_HH_20251108032444_20251108032453.json
CAPELLA_C13_SP_GEO_HH_20251109032756_20251109032808,nao_urbano,1.0,19.421055965,-155.286922315,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-09/CAPELLA_C13_SP_GEO_HH_20251109032756_20251109032808/CAPELLA_C13_SP_GEO_HH_20251109032756_20251109032808.json
CAPELLA_C13_SP_GEO_HH_20251105111537_20251105111546,urbano,0.6087,37.318960965,-121.870451945,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-05/CAPELLA_C13_SP_GEO_HH_20251105111537_20251105111546/CAPELLA_C13_SP_GEO_HH_20251105111537_20251105111546.json
CAPELLA_C13_SP_GEO_HH_20251105143522_20251105143535,nao_urbano,1.0,19.421423795000003,-155.286256795,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-05/CAPELLA_C13_SP_GEO_HH_20251105143522_20251105143535/CAPELLA_C13_SP_GEO_HH_20251105143522_20251105143535.json
CAPELLA_C13_SP_SLC_HH_20251106043113_20251106043125,nao_urbano,1.0,19.42054981,-155.286129385,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-06/CAPELLA_C13_SP_SLC_HH_20251106043113_20251106043125/CAPELLA_C13_SP_SLC_HH_20251106043113_20251106043125.json
CAPELLA_C13_SP_GEO_HH_20251111122850_20251111122903,nao_urbano,1.0,19.42144056,-155.28623650999998,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-11/CAPELLA_C13_SP_GEO_HH_20251111122850_20251111122903/CAPELLA_C13_SP_GEO_HH_20251111122850_20251111122903.json
CAPELLA_C13_SP_SLC_HH_20251102121853_20251102121903,urbano,0.6065,37.318881365,-121.870479475,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-02/CAPELLA_C13_SP_SLC_HH_20251102121853_20251102121903/CAPELLA_C13_SP_SLC_HH_20251102121853_20251102121903.json
CAPELLA_C13_SP_GEO_HH_20251102153839_20251102153851,nao_urbano,1.0,19.42144056,-155.28623614,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-02/CAPELLA_C13_SP_GEO_HH_20251102153839_20251102153851/CAPELLA_C13_SP_GEO_HH_20251102153839_20251102153851.json
CAPELLA_C13_SP_GEO_HH_20251102121853_20251102121903,urbano,0.6065,37.318553935,-121.870859395,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-02/CAPELLA_C13_SP_GEO_HH_20251102121853_20251102121903/CAPELLA_C13_SP_GEO_HH_20251102121853_20251102121903.json
CAPELLA_C13_SP_SLC_HH_20251102153839_20251102153851,nao_urbano,1.0,19.4214822,-155.28628456500002,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-02/CAPELLA_C13_SP_SLC_HH_20251102153839_20251102153851/CAPELLA_C13_SP_SLC_HH_20251102153839_20251102153851.json
CAPELLA_C13_SP_SLC_HH_20251102053116_20251102053126,nao_urbano,0.8009,34.83317249,-118.072881405,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-02/CAPELLA_C13_SP_SLC_HH_20251102053116_20251102053126/CAPELLA_C13_SP_SLC_HH_20251102053116_20251102053126.json
CAPELLA_C13_SP_GEO_HH_20251102053116_20251102053126,nao_urbano,0.8009,34.83300326,-118.07290501,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-02/CAPELLA_C13_SP_GEO_HH_20251102053116_20251102053126/CAPELLA_C13_SP_GEO_HH_20251102053116_20251102053126.json
CAPELLA_C13_SP_SLC_HH_20251030132209_20251030132219,urbano,0.6085,37.31888138,-121.8704797,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-30/CAPELLA_C13_SP_SLC_HH_20251030132209_20251030132219/CAPELLA_C13_SP_SLC_HH_20251030132209_20251030132219.json
CAPELLA_C13_SP_SLC_HH_20251103053430_20251103053442,nao_urbano,1.0,19.420575635,-155.286168545,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-03/CAPELLA_C13_SP_SLC_HH_20251103053430_20251103053442/CAPELLA_C13_SP_SLC_HH_20251103053430_20251103053442.json
CAPELLA_C13_SP_SLC_HH_20251031063745_20251031063757,nao_urbano,1.0,19.420557615,-155.2861405,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-31/CAPELLA_C13_SP_SLC_HH_20251031063745_20251031063757/CAPELLA_C13_SP_SLC_HH_20251031063745_20251031063757.json
CAPELLA_C13_SP_GEO_HH_20251027174510_20251027174523,nao_urbano,1.0,19.421440495,-155.28623611,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-27/CAPELLA_C13_SP_GEO_HH_20251027174510_20251027174523/CAPELLA_C13_SP_GEO_HH_20251027174510_20251027174523.json
CAPELLA_C13_SP_SLC_HH_20251030164154_20251030164207,nao_urbano,1.0,19.42146576,-155.286305045,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-30/CAPELLA_C13_SP_SLC_HH_20251030164154_20251030164207/CAPELLA_C13_SP_SLC_HH_20251030164154_20251030164207.json
CAPELLA_C13_SP_SLC_HH_20251028074102_20251028074113,nao_urbano,1.0,19.420575565,-155.286168525,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-28/CAPELLA_C13_SP_SLC_HH_20251028074102_20251028074113/CAPELLA_C13_SP_SLC_HH_20251028074102_20251028074113.json
CAPELLA_C13_SP_GEO_HH_20251030063432_20251030063442,nao_urbano,0.8009,34.83266741,-118.072548945,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-30/CAPELLA_C13_SP_GEO_HH_20251030063432_20251030063442/CAPELLA_C13_SP_GEO_HH_20251030063432_20251030063442.json
CAPELLA_C13_SP_GEO_HH_20251103053430_20251103053442,nao_urbano,1.0,19.421056285,-155.286930065,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-03/CAPELLA_C13_SP_GEO_HH_20251103053430_20251103053442/CAPELLA_C13_SP_GEO_HH_20251103053430_20251103053442.json
CAPELLA_C13_SP_GEO_HH_20251030164154_20251030164207,nao_urbano,1.0,19.421423765,-155.28625670000002,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-30/CAPELLA_C13_SP_GEO_HH_20251030164154_20251030164207/CAPELLA_C13_SP_GEO_HH_20251030164154_20251030164207.json
CAPELLA_C13_SP_SLC_HH_20251030063432_20251030063442,nao_urbano,0.8009,34.833171255,-118.072882885,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-30/CAPELLA_C13_SP_SLC_HH_20251030063432_20251030063442/CAPELLA_C13_SP_SLC_HH_20251030063432_20251030063442.json
CAPELLA_C13_SP_GEO_HH_20251031063745_20251031063757,nao_urbano,1.0,19.421037935,-155.28690027,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-31/CAPELLA_C13_SP_GEO_HH_20251031063745_20251031063757/CAPELLA_C13_SP_GEO_HH_20251031063745_20251031063757.json
CAPELLA_C13_SP_SLC_HH_20251027174510_20251027174523,nao_urbano,1.0,19.42148214,-155.286284535,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-27/CAPELLA_C13_SP_SLC_HH_20251027174510_20251027174523/CAPELLA_C13_SP_SLC_HH_20251027174510_20251027174523.json
CAPELLA_C13_SP_GEO_HH_20251030132209_20251030132219,urbano,0.6085,37.31896084,-121.870451885,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-30/CAPELLA_C13_SP_GEO_HH_20251030132209_20251030132219/CAPELLA_C13_SP_GEO_HH_20251030132209_20251030132219.json
CAPELLA_C13_SP_GEO_HH_20251028074102_20251028074113,nao_urbano,1.0,19.42103788,-155.28690049,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-28/CAPELLA_C13_SP_GEO_HH_20251028074102_20251028074113/CAPELLA_C13_SP_GEO_HH_20251028074102_20251028074113.json
CAPELLA_C13_SP_SLC_HH_20251027142525_20251027142535,urbano,0.6065,37.318881305000005,-121.870479465,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-27/CAPELLA_C13_SP_SLC_HH_20251027142525_20251027142535/CAPELLA_C13_SP_SLC_HH_20251027142525_20251027142535.json
CAPELLA_C13_SP_SLC_HH_20251027073748_20251027073758,nao_urbano,0.8006,34.833172395,-118.07288126,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-27/CAPELLA_C13_SP_SLC_HH_20251027073748_20251027073758/CAPELLA_C13_SP_SLC_HH_20251027073748_20251027073758.json
CAPELLA_C13_SP_SLC_HH_20251025084417_20251025084429,nao_urbano,1.0,19.4205757,-155.28616858499998,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-25/CAPELLA_C13_SP_SLC_HH_20251025084417_20251025084429/CAPELLA_C13_SP_SLC_HH_20251025084417_20251025084429.json
CAPELLA_C13_SP_GEO_HH_20251027142525_20251027142535,urbano,0.6065,37.318553905,-121.87085936,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-27/CAPELLA_C13_SP_GEO_HH_20251027142525_20251027142535/CAPELLA_C13_SP_GEO_HH_20251027142525_20251027142535.json
CAPELLA_C13_SP_GEO_HH_20251024184825_20251024184838,nao_urbano,1.0,19.42142381,-155.28625691,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-24/CAPELLA_C13_SP_GEO_HH_20251024184825_20251024184838/CAPELLA_C13_SP_GEO_HH_20251024184825_20251024184838.json
CAPELLA_C13_SP_GEO_HH_20251025084417_20251025084429,nao_urbano,1.0,19.421056315,-155.286929915,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-25/CAPELLA_C13_SP_GEO_HH_20251025084417_20251025084429/CAPELLA_C13_SP_GEO_HH_20251025084417_20251025084429.json
CAPELLA_C13_SP_GEO_HH_20251024084103_20251024084113,nao_urbano,0.8003,34.833003175,-118.072905425,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-24/CAPELLA_C13_SP_GEO_HH_20251024084103_20251024084113/CAPELLA_C13_SP_GEO_HH_20251024084103_20251024084113.json
CAPELLA_C13_SP_GEO_HH_20251027073748_20251027073758,nao_urbano,0.8006,34.833003245,-118.07290489,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-27/CAPELLA_C13_SP_GEO_HH_20251027073748_20251027073758/CAPELLA_C13_SP_GEO_HH_20251027073748_20251027073758.json
CAPELLA_C13_SP_SLC_HH_20251024152840_20251024152849,urbano,0.6042,37.318881125,-121.870479995,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-24/CAPELLA_C13_SP_SLC_HH_20251024152840_20251024152849/CAPELLA_C13_SP_SLC_HH_20251024152840_20251024152849.json
CAPELLA_C13_SP_SLC_HH_20251021195142_20251021195155,nao_urbano,0.8015,19.421465755,-155.28630501499998,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-21/CAPELLA_C13_SP_SLC_HH_20251021195142_20251021195155/CAPELLA_C13_SP_SLC_HH_20251021195142_20251021195155.json
CAPELLA_C13_SP_SLC_HH_20251024184825_20251024184838,nao_urbano,1.0,19.42148227,-155.286284815,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-24/CAPELLA_C13_SP_SLC_HH_20251024184825_20251024184838/CAPELLA_C13_SP_SLC_HH_20251024184825_20251024184838.json
CAPELLA_C13_SP_SLC_HH_20251021163157_20251021163206,urbano,0.6047,37.318472605,-121.870883775,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-21/CAPELLA_C13_SP_SLC_HH_20251021163157_20251021163206/CAPELLA_C13_SP_SLC_HH_20251021163157_20251021163206.json
CAPELLA_C13_SP_GEO_HH_20251022094733_20251022094745,nao_urbano,0.8026,19.42103796,-155.286900435,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-22/CAPELLA_C13_SP_GEO_HH_20251022094733_20251022094745/CAPELLA_C13_SP_GEO_HH_20251022094733_20251022094745.json
CAPELLA_C13_SP_GEO_HH_20251021163157_20251021163206,urbano,0.6047,37.3185539,-121.870859385,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-21/CAPELLA_C13_SP_GEO_HH_20251021163157_20251021163206/CAPELLA_C13_SP_GEO_HH_20251021163157_20251021163206.json
CAPELLA_C13_SP_GEO_HH_20251024152840_20251024152849,urbano,0.6042,37.31855398,-121.87085957,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-24/CAPELLA_C13_SP_GEO_HH_20251024152840_20251024152849/CAPELLA_C13_SP_GEO_HH_20251024152840_20251024152849.json
CAPELLA_C13_SP_SLC_HH_20251022094733_20251022094745,nao_urbano,0.8026,19.42055759,-155.28614034499998,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-22/CAPELLA_C13_SP_SLC_HH_20251022094733_20251022094745/CAPELLA_C13_SP_SLC_HH_20251022094733_20251022094745.json
CAPELLA_C13_SP_GEO_HH_20251021195142_20251021195155,nao_urbano,0.8015,19.421423755,-155.28625666,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-21/CAPELLA_C13_SP_GEO_HH_20251021195142_20251021195155/CAPELLA_C13_SP_GEO_HH_20251021195142_20251021195155.json
CAPELLA_C13_SP_SLC_HH_20251024084103_20251024084113,nao_urbano,0.8003,34.833172535,-118.07288186,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-24/CAPELLA_C13_SP_SLC_HH_20251024084103_20251024084113/CAPELLA_C13_SP_SLC_HH_20251024084103_20251024084113.json
CAPELLA_C13_SP_SLC_HH_20251021094420_20251021094429,nao_urbano,0.8011,34.8328333,-118.072524105,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-21/CAPELLA_C13_SP_SLC_HH_20251021094420_20251021094429/CAPELLA_C13_SP_SLC_HH_20251021094420_20251021094429.json
CAPELLA_C13_SP_GEO_HH_20251021094420_20251021094429,nao_urbano,0.8011,34.833003275,-118.072904905,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-21/CAPELLA_C13_SP_GEO_HH_20251021094420_20251021094429/CAPELLA_C13_SP_GEO_HH_20251021094420_20251021094429.json
CAPELLA_C13_SP_SLC_HH_20251019105048_20251019105100,nao_urbano,1.0,19.42055773,-155.28614046,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-19/CAPELLA_C13_SP_SLC_HH_20251019105048_20251019105100/CAPELLA_C13_SP_SLC_HH_20251019105048_20251019105100.json
CAPELLA_C13_SP_SLC_HH_20251018205457_20251018205510,nao_urbano,0.8052,19.421465575,-155.28630504,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-18/CAPELLA_C13_SP_SLC_HH_20251018205457_20251018205510/CAPELLA_C13_SP_SLC_HH_20251018205457_20251018205510.json
CAPELLA_C13_SP_SLC_HH_20251018173511_20251018173521,urbano,0.6075,37.318881015,-121.870479645,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-18/CAPELLA_C13_SP_SLC_HH_20251018173511_20251018173521/CAPELLA_C13_SP_SLC_HH_20251018173511_20251018173521.json
CAPELLA_C13_SP_GEO_HH_20251018173511_20251018173521,urbano,0.6075,37.318960485,-121.87045175,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-18/CAPELLA_C13_SP_GEO_HH_20251018173511_20251018173521/CAPELLA_C13_SP_GEO_HH_20251018173511_20251018173521.json
CAPELLA_C13_SP_SLC_HH_20251016115405_20251016115417,nao_urbano,1.0,19.42057563,-155.28616839,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-10/capella-open-data-2025-10-16/CAPELLA_C13_SP_SLC_HH_20251016115405_20251016115417/CAPELLA_C13_SP_SLC_HH_20251016115405_20251016115417.json
